year,naics_code,PPI
1981,1133,100.0
1982,1133,96.6
1983,1133,95.9
1984,1133,93.4
1985,1133,94.1
1986,1133,93.2
1987,1133,111.0
1988,1133,112.7
1989,1133,133.7
1990,1133,132.5
1991,1133,136.4
1992,1133,159.6
1993,1133,186.5
1994,1133,189.6
1995,1133,189.3
1996,1133,187.4
1997,1133,191.0
1998,1133,180.8
1999,1133,184.6
2000,1133,169.2
2001,1133,165.5
2002,1133,165.0
2003,1133,173.2
2004,1133,176.9
2005,1133,178.1
2006,1133,173.8
2007,1133,171.0
2008,1133,168.5
2009,1133,165.7
2010,1133,173.8
2011,1133,188.4
2012,1133,196.4
2013,1133,201.8
2014,1133,201.6
2015,1133,196.9
2016,1133,201.0
2017,1133,203.8
2018,1133,202.0
2019,1133,191.5
2020,1133,201.2
2021,1133,215.013
2022,1133,221.197
2023,1133,210.234
2024,1133,205.168
1981,11331,100.0
1982,11331,96.6
1983,11331,95.9
1984,11331,93.4
1985,11331,94.1
1986,11331,93.2
1987,11331,111.0
1988,11331,112.7
1989,11331,133.7
1990,11331,132.5
1991,11331,136.4
1992,11331,159.6
1993,11331,186.5
1994,11331,189.6
1995,11331,189.3
1996,11331,187.4
1997,11331,191.0
1998,11331,180.8
1999,11331,184.6
2000,11331,169.2
2001,11331,165.5
2002,11331,165.0
2003,11331,173.2
2004,11331,176.9
2005,11331,178.1
2006,11331,173.8
2007,11331,171.0
2008,11331,168.5
2009,11331,165.7
2010,11331,173.8
2011,11331,188.4
2012,11331,196.4
2013,11331,201.8
2014,11331,201.6
2015,11331,196.9
2016,11331,201.0
2017,11331,203.8
2018,11331,202.0
2019,11331,191.5
2020,11331,201.2
2021,11331,215.013
2022,11331,221.197
2023,11331,210.234
2024,11331,205.168
1981,113310,100.0
1982,113310,96.6
1983,113310,95.9
1984,113310,93.4
1985,113310,94.1
1986,113310,93.2
1987,113310,111.0
1988,113310,112.7
1989,113310,133.7
1990,113310,132.5
1991,113310,136.4
1992,113310,159.6
1993,113310,186.5
1994,113310,189.6
1995,113310,189.4
1996,113310,187.5
1997,113310,191.1
1998,113310,184.7
1999,113310,188.5
2000,113310,174.7
2001,113310,171.3
2002,113310,170.8
2003,113310,180.1
2004,113310,184.0
2005,113310,185.2
2006,113310,180.8
2007,113310,177.8
2008,113310,175.3
2009,113310,172.3
2010,113310,180.8
2011,113310,196.0
2012,113310,204.2
2013,113310,209.9
2014,113310,209.7
2015,113310,204.8
2016,113310,209.1
2017,113310,212.0
2018,113310,210.1
2019,113310,199.1
2020,113310,209.2
2021,113310,223.626
2022,113310,230.056
2023,113310,218.654
2024,113310,213.384
1985,211,100.0
1986,211,69.0
1987,211,73.2
1988,211,68.3
1989,211,77.3
1990,211,91.8
1991,211,77.1
1992,211,79.4
1993,211,70.9
1994,211,68.6
1995,211,71.0
1996,211,112.1
1997,211,84.5
1998,211,62.9
1999,211,90.4
2000,211,171.2
2001,211,78.3
2002,211,133.9
2003,211,155.1
2004,211,214.7
2005,211,312.2
2006,211,256.2
2007,211,315.9
2008,211,184.1
2009,211,235.5
2010,211,256.4
2011,211,267.7
2012,211,242.6
2013,211,259.1
2014,211,188.6
2015,211,100.7
2016,211,155.6
2017,211,163.4
2018,211,175.2
2019,211,139.0
