,year,naics_code,PPI
0,1981,1133,100.0
1,1982,1133,96.6
2,1983,1133,95.9
3,1984,1133,93.4
4,1985,1133,94.1
5,1986,1133,93.2
6,1987,1133,111.0
7,1988,1133,112.7
8,1989,1133,133.7
9,1990,1133,132.5
10,1991,1133,136.4
11,1992,1133,159.6
12,1993,1133,186.5
13,1994,1133,189.6
14,1995,1133,189.3
15,1996,1133,187.4
16,1997,1133,191.0
17,1998,1133,180.8
18,1999,1133,184.6
19,2000,1133,169.2
20,2001,1133,165.5
21,2002,1133,165.0
22,2003,1133,173.2
23,2004,1133,176.9
24,2005,1133,178.1
25,2006,1133,173.8
26,2007,1133,171.0
27,2008,1133,168.5
28,2009,1133,165.7
29,2010,1133,173.8
30,2011,1133,188.4
31,2012,1133,196.4
32,2013,1133,201.8
33,2014,1133,201.6
34,2015,1133,196.9
35,2016,1133,201.0
36,2017,1133,203.8
37,2018,1133,202.0
38,2019,1133,191.5
39,2020,1133,201.2
40,2021,1133,215.013
41,2022,1133,219.914
42,1981,11331,100.0
43,1982,11331,96.6
44,1983,11331,95.9
45,1984,11331,93.4
46,1985,11331,94.1
47,1986,11331,93.2
48,1987,11331,111.0
49,1988,11331,112.7
50,1989,11331,133.7
51,1990,11331,132.5
52,1991,11331,136.4
53,1992,11331,159.6
54,1993,11331,186.5
55,1994,11331,189.6
56,1995,11331,189.3
57,1996,11331,187.4
58,1997,11331,191.0
59,1998,11331,180.8
60,1999,11331,184.6
61,2000,11331,169.2
62,2001,11331,165.5
63,2002,11331,165.0
64,2003,11331,173.2
65,2004,11331,176.9
66,2005,11331,178.1
67,2006,11331,173.8
68,2007,11331,171.0
69,2008,11331,168.5
70,2009,11331,165.7
71,2010,11331,173.8
72,2011,11331,188.4
73,2012,11331,196.4
74,2013,11331,201.8
75,2014,11331,201.6
76,2015,11331,196.9
77,2016,11331,201.0
78,2017,11331,203.8
79,2018,11331,202.0
80,2019,11331,191.5
81,2020,11331,201.2
82,2021,11331,215.013
83,2022,11331,219.913
84,1981,113310,100.0
85,1982,113310,96.6
86,1983,113310,95.9
87,1984,113310,93.4
88,1985,113310,94.1
89,1986,113310,93.2
90,1987,113310,111.0
91,1988,113310,112.7
92,1989,113310,133.7
93,1990,113310,132.5
94,1991,113310,136.4
95,1992,113310,159.6
96,1993,113310,186.5
97,1994,113310,189.6
98,1995,113310,189.4
99,1996,113310,187.5
100,1997,113310,191.1
101,1998,113310,180.9
102,1999,113310,184.7
103,2000,113310,169.3
104,2001,113310,165.6
105,2002,113310,165.1
106,2003,113310,173.3
107,2004,113310,177.0
108,2005,113310,178.2
109,2006,113310,173.9
110,2007,113310,171.1
111,2008,113310,168.6
112,2009,113310,165.8
113,2010,113310,173.9
114,2011,113310,188.5
115,2012,113310,196.5
116,2013,113310,201.9
117,2014,113310,201.8
118,2015,113310,197.1
119,2016,113310,201.1
120,2017,113310,204.0
121,2018,113310,202.1
122,2019,113310,191.6
123,2020,113310,201.3
124,2021,113310,215.143
125,2022,113310,220.046
126,1985,211,100.0
127,1986,211,69.0
128,1987,211,73.2
129,1988,211,68.3
130,1989,211,77.3
131,1990,211,91.8
132,1991,211,77.1
133,1992,211,79.4
134,1993,211,70.9
135,1994,211,68.6
136,1995,211,71.0
137,1996,211,112.1
138,1997,211,84.5
139,1998,211,62.9
140,1999,211,90.4
141,2000,211,171.2
142,2001,211,78.3
143,2002,211,133.9
144,2003,211,155.1
145,2004,211,214.7
146,2005,211,312.2
147,2006,211,256.2
148,2007,211,315.9
149,2008,211,184.1
150,2009,211,235.5
151,2010,211,256.4
152,2011,211,267.7
153,2012,211,242.6
154,2013,211,259.1
155,2014,211,188.6
156,2015,211,100.7
157,2016,211,155.6
158,2017,211,163.4
159,2018,211,175.2
160,2019,211,139.0
161,2020,211,129.3
162,2021,211,229.298
163,2022,211,263.231
164,1985,2111,100.0
165,1986,2111,69.0
166,1987,2111,73.2
167,1988,2111,68.3
168,1989,2111,77.3
169,1990,2111,91.8
170,1991,2111,77.1
171,1992,2111,79.4
172,1993,2111,70.9
173,1994,2111,68.6
174,1995,2111,71.0
175,1996,2111,112.1
176,1997,2111,84.5
177,1998,2111,62.9
178,1999,2111,90.4
179,2000,2111,171.2
180,2001,2111,78.3
181,2002,2111,133.9
182,2003,2111,155.1
183,2004,2111,214.7
184,2005,2111,312.2
185,2006,2111,256.2
186,2007,2111,315.9
187,2008,2111,184.1
188,2009,2111,235.5
189,2010,2111,256.4
190,2011,2111,267.7
191,2012,2111,242.6
192,2013,2111,259.1
193,2014,2111,188.6
194,2015,2111,100.7
195,2016,2111,155.6
196,2017,2111,163.4
197,2018,2111,175.2
198,2019,2111,139.0
199,2020,2111,129.3
200,2021,2111,229.298
201,2022,2111,263.231
202,2002,211111,126.4
203,2003,211111,145.3
204,2004,211111,203.9
205,2005,211111,297.6
206,2006,211111,254.4
207,2007,211111,306.1
208,2008,211111,188.6
209,2009,211111,227.8
210,2010,211111,251.7
211,2011,211111,266.0
212,2012,211111,245.4
213,2013,211111,264.2
214,2014,211111,194.6
215,2015,211111,103.6
216,2016,211111,158.5
217,2017,211111,166.5
218,2018,211111,177.2
219,2019,211111,146.1
220,2020,211111,133.0
221,2021,211111,232.510
222,2022,211111,266.277
223,2002,211112,149.6
224,2003,211112,179.4
225,2004,211112,242.2
226,2005,211112,349.7
227,2006,211112,265.0
228,2007,211112,348.1
229,2008,211112,173.6
230,2009,211112,259.1
231,2010,211112,271.6
232,2011,211112,274.0
233,2012,211112,224.6
234,2013,211112,228.2
235,2014,211112,153.5
236,2015,211112,84.0
237,2016,211112,137.6
238,2017,211112,144.8
239,2018,211112,162.2
240,2019,211112,101.2
241,2020,211112,108.3
242,2021,211112,208.595
243,2022,211112,242.663
244,2003,321,100.0
245,2004,321,105.9
246,2005,321,108.4
247,2006,321,106.0
248,2007,321,106.1
249,2008,321,106.2
250,2009,321,103.5
251,2010,321,107.3
252,2011,321,108.9
253,2012,321,116.2
254,2013,321,121.8
255,2014,321,125.8
256,2015,321,123.8
257,2016,321,126.1
258,2017,321,133.5
259,2018,321,135.4
260,2019,321,135.9
261,2020,321,162.8
262,2021,321,195.266
263,2022,321,189.708
264,2003,3211,100.0
265,2004,3211,106.4
266,2005,3211,108.6
267,2006,3211,102.3
268,2007,3211,98.7
269,2008,3211,94.1
270,2009,3211,92.0
