year,quarter,PPI,naics_code,date
1981,4,100.0,1133,1981Q4
1982,1,101.4,1133,1982Q1
1982,2,101.0,1133,1982Q2
1982,3,96.1,1133,1982Q3
1982,4,96.6,1133,1982Q4
1983,1,96.6,1133,1983Q1
1983,2,97.5,1133,1983Q2
1983,3,96.5,1133,1983Q3
1983,4,95.9,1133,1983Q4
1984,1,96.4,1133,1984Q1
1984,2,97.6,1133,1984Q2
1984,3,95.2,1133,1984Q3
1984,4,93.4,1133,1984Q4
1985,1,94.8,1133,1985Q1
1985,2,96.2,1133,1985Q2
1985,3,93.1,1133,1985Q3
1985,4,94.1,1133,1985Q4
1986,1,93.2,1133,1986Q1
1986,2,93.2,1133,1986Q2
1986,3,93.1,1133,1986Q3
1986,4,93.2,1133,1986Q4
1987,1,95.8,1133,1987Q1
1987,2,97.4,1133,1987Q2
1987,3,104.9,1133,1987Q3
1987,4,111.0,1133,1987Q4
1988,1,114.0,1133,1988Q1
1988,2,112.6,1133,1988Q2
1988,3,112.0,1133,1988Q3
1988,4,112.7,1133,1988Q4
1989,1,122.0,1133,1989Q1
1989,2,127.5,1133,1989Q2
1989,3,132.2,1133,1989Q3
1989,4,133.7,1133,1989Q4
1990,1,136.3,1133,1990Q1
1990,2,136.5,1133,1990Q2
1990,3,135.9,1133,1990Q3
1990,4,132.5,1133,1990Q4
1991,1,132.5,1133,1991Q1
1991,2,135.4,1133,1991Q2
1991,3,135.6,1133,1991Q3
1991,4,136.4,1133,1991Q4
1992,1,147.3,1133,1992Q1
1992,2,151.5,1133,1992Q2
1992,3,153.7,1133,1992Q3
1992,4,159.6,1133,1992Q4
1993,1,177.2,1133,1993Q1
1993,2,196.1,1133,1993Q2
1993,3,187.0,1133,1993Q3
1993,4,186.5,1133,1993Q4
1994,1,201.0,1133,1994Q1
1994,2,192.0,1133,1994Q2
1994,3,187.9,1133,1994Q3
1994,4,189.6,1133,1994Q4
1995,1,198.0,1133,1995Q1
1995,2,199.9,1133,1995Q2
1995,3,191.6,1133,1995Q3
