,year,quarter,PPI,naics_code,date
0,1981,4,100.0,1133,1981Q4
3,1982,1,101.4,1133,1982Q1
6,1982,2,101.0,1133,1982Q2
9,1982,3,96.1,1133,1982Q3
12,1982,4,96.6,1133,1982Q4
16,1983,1,96.6,1133,1983Q1
19,1983,2,97.5,1133,1983Q2
22,1983,3,96.5,1133,1983Q3
25,1983,4,95.9,1133,1983Q4
29,1984,1,96.4,1133,1984Q1
32,1984,2,97.6,1133,1984Q2
35,1984,3,95.2,1133,1984Q3
38,1984,4,93.4,1133,1984Q4
42,1985,1,94.8,1133,1985Q1
45,1985,2,96.2,1133,1985Q2
48,1985,3,93.1,1133,1985Q3
51,1985,4,94.1,1133,1985Q4
55,1986,1,93.2,1133,1986Q1
58,1986,2,93.2,1133,1986Q2
61,1986,3,93.1,1133,1986Q3
64,1986,4,93.2,1133,1986Q4
68,1987,1,95.8,1133,1987Q1
71,1987,2,97.4,1133,1987Q2
74,1987,3,104.9,1133,1987Q3
77,1987,4,111.0,1133,1987Q4
81,1988,1,114.0,1133,1988Q1
84,1988,2,112.6,1133,1988Q2
87,1988,3,112.0,1133,1988Q3
90,1988,4,112.7,1133,1988Q4
94,1989,1,122.0,1133,1989Q1
97,1989,2,127.5,1133,1989Q2
100,1989,3,132.2,1133,1989Q3
103,1989,4,133.7,1133,1989Q4
107,1990,1,136.3,1133,1990Q1
110,1990,2,136.5,1133,1990Q2
113,1990,3,135.9,1133,1990Q3
116,1990,4,132.5,1133,1990Q4
120,1991,1,132.5,1133,1991Q1
123,1991,2,135.4,1133,1991Q2
126,1991,3,135.6,1133,1991Q3
129,1991,4,136.4,1133,1991Q4
133,1992,1,147.3,1133,1992Q1
136,1992,2,151.5,1133,1992Q2
139,1992,3,153.7,1133,1992Q3
142,1992,4,159.6,1133,1992Q4
146,1993,1,177.2,1133,1993Q1
149,1993,2,196.1,1133,1993Q2
152,1993,3,187.0,1133,1993Q3
155,1993,4,186.5,1133,1993Q4
159,1994,1,201.0,1133,1994Q1
162,1994,2,192.0,1133,1994Q2
165,1994,3,187.9,1133,1994Q3
168,1994,4,189.6,1133,1994Q4
172,1995,1,198.0,1133,1995Q1
175,1995,2,199.9,1133,1995Q2
178,1995,3,191.6,1133,1995Q3
181,1995,4,189.3,1133,1995Q4
185,1996,1,187.7,1133,1996Q1
188,1996,2,182.0,1133,1996Q2
191,1996,3,184.6,1133,1996Q3
194,1996,4,187.4,1133,1996Q4
198,1997,1,191.8,1133,1997Q1
201,1997,2,191.2,1133,1997Q2
204,1997,3,191.9,1133,1997Q3
207,1997,4,191.0,1133,1997Q4
211,1998,1,194.1,1133,1998Q1
214,1998,2,188.9,1133,1998Q2
217,1998,3,184.3,1133,1998Q3
220,1998,4,180.8,1133,1998Q4
224,1999,1,182.2,1133,1999Q1
227,1999,2,181.7,1133,1999Q2
230,1999,3,182.7,1133,1999Q3
233,1999,4,184.6,1133,1999Q4
237,2000,1,186.0,1133,2000Q1
240,2000,2,179.7,1133,2000Q2
243,2000,3,170.0,1133,2000Q3
246,2000,4,169.2,1133,2000Q4
250,2001,1,168.0,1133,2001Q1
253,2001,2,169.5,1133,2001Q2
256,2001,3,167.6,1133,2001Q3
259,2001,4,165.5,1133,2001Q4
263,2002,1,165.6,1133,2002Q1
266,2002,2,165.0,1133,2002Q2
269,2002,3,165.1,1133,2002Q3
272,2002,4,165.0,1133,2002Q4
276,2003,1,166.4,1133,2003Q1
279,2003,2,169.2,1133,2003Q2
282,2003,3,170.4,1133,2003Q3
285,2003,4,173.2,1133,2003Q4
289,2004,1,174.1,1133,2004Q1
292,2004,2,174.5,1133,2004Q2
295,2004,3,175.4,1133,2004Q3
298,2004,4,176.9,1133,2004Q4
302,2005,1,180.9,1133,2005Q1
305,2005,2,178.8,1133,2005Q2
308,2005,3,177.7,1133,2005Q3
311,2005,4,178.1,1133,2005Q4
315,2006,1,177.4,1133,2006Q1
318,2006,2,177.3,1133,2006Q2
321,2006,3,176.3,1133,2006Q3
324,2006,4,173.8,1133,2006Q4
328,2007,1,178.6,1133,2007Q1
331,2007,2,176.8,1133,2007Q2
334,2007,3,173.6,1133,2007Q3
337,2007,4,171.0,1133,2007Q4
341,2008,1,172.8,1133,2008Q1
344,2008,2,173.2,1133,2008Q2
347,2008,3,171.4,1133,2008Q3
350,2008,4,168.5,1133,2008Q4
354,2009,1,159.2,1133,2009Q1
357,2009,2,156.4,1133,2009Q2
360,2009,3,160.1,1133,2009Q3
363,2009,4,165.7,1133,2009Q4
367,2010,1,178.9,1133,2010Q1
370,2010,2,179.4,1133,2010Q2
373,2010,3,177.1,1133,2010Q3
376,2010,4,173.8,1133,2010Q4
380,2011,1,186.1,1133,2011Q1
383,2011,2,181.8,1133,2011Q2
386,2011,3,186.2,1133,2011Q3
389,2011,4,188.4,1133,2011Q4
393,2012,1,189.9,1133,2012Q1
396,2012,2,190.1,1133,2012Q2
399,2012,3,191.2,1133,2012Q3
402,2012,4,196.4,1133,2012Q4
406,2013,1,198.6,1133,2013Q1
409,2013,2,198.4,1133,2013Q2
412,2013,3,199.7,1133,2013Q3
415,2013,4,201.8,1133,2013Q4
419,2014,1,202.6,1133,2014Q1
422,2014,2,201.8,1133,2014Q2
425,2014,3,203.3,1133,2014Q3
428,2014,4,201.6,1133,2014Q4
432,2015,1,203.8,1133,2015Q1
435,2015,2,201.3,1133,2015Q2
438,2015,3,196.9,1133,2015Q3
441,2015,4,196.9,1133,2015Q4
445,2016,1,197.6,1133,2016Q1
448,2016,2,196.3,1133,2016Q2
451,2016,3,197.9,1133,2016Q3
454,2016,4,201.0,1133,2016Q4
458,2017,1,199.5,1133,2017Q1
461,2017,2,197.0,1133,2017Q2
464,2017,3,196.5,1133,2017Q3
467,2017,4,203.8,1133,2017Q4
471,2018,1,205.1,1133,2018Q1
474,2018,2,205.5,1133,2018Q2
477,2018,3,207.2,1133,2018Q3
480,2018,4,202.0,1133,2018Q4
484,2019,1,197.0,1133,2019Q1
487,2019,2,197.2,1133,2019Q2
490,2019,3,194.5,1133,2019Q3
493,2019,4,191.5,1133,2019Q4
497,2020,1,194.8,1133,2020Q1
500,2020,2,190.3,1133,2020Q2
503,2020,3,194.0,1133,2020Q3
506,2020,4,201.2,1133,2020Q4
510,2021,1,211.9,1133,2021Q1
513,2021,2,214.5,1133,2021Q2
516,2021,3,215.876,1133,2021Q3
519,2021,4,215.013,1133,2021Q4
523,2022,1,218.098,1133,2022Q1
526,2022,2,221.763,1133,2022Q2
529,2022,3,221.294,1133,2022Q3
532,2022,4,219.914,1133,2022Q4
534,1981,4,100.0,11331,1981Q4
537,1982,1,101.4,11331,1982Q1
540,1982,2,101.0,11331,1982Q2
543,1982,3,96.1,11331,1982Q3
546,1982,4,96.6,11331,1982Q4
550,1983,1,96.6,11331,1983Q1
553,1983,2,97.5,11331,1983Q2
556,1983,3,96.5,11331,1983Q3
559,1983,4,95.9,11331,1983Q4
563,1984,1,96.4,11331,1984Q1
566,1984,2,97.6,11331,1984Q2
569,1984,3,95.2,11331,1984Q3
572,1984,4,93.4,11331,1984Q4
576,1985,1,94.8,11331,1985Q1
579,1985,2,96.2,11331,1985Q2
582,1985,3,93.1,11331,1985Q3
585,1985,4,94.1,11331,1985Q4
589,1986,1,93.2,11331,1986Q1
592,1986,2,93.2,11331,1986Q2
595,1986,3,93.1,11331,1986Q3
598,1986,4,93.2,11331,1986Q4
602,1987,1,95.8,11331,1987Q1
605,1987,2,97.4,11331,1987Q2
608,1987,3,104.9,11331,1987Q3
611,1987,4,111.0,11331,1987Q4
615,1988,1,114.0,11331,1988Q1
618,1988,2,112.6,11331,1988Q2
621,1988,3,112.0,11331,1988Q3
624,1988,4,112.7,11331,1988Q4
628,1989,1,122.0,11331,1989Q1
631,1989,2,127.5,11331,1989Q2
634,1989,3,132.2,11331,1989Q3
637,1989,4,133.7,11331,1989Q4
641,1990,1,136.3,11331,1990Q1
644,1990,2,136.5,11331,1990Q2
647,1990,3,135.9,11331,1990Q3
650,1990,4,132.5,11331,1990Q4
654,1991,1,132.5,11331,1991Q1
657,1991,2,135.4,11331,1991Q2
660,1991,3,135.6,11331,1991Q3
663,1991,4,136.4,11331,1991Q4
667,1992,1,147.3,11331,1992Q1
670,1992,2,151.5,11331,1992Q2
673,1992,3,153.7,11331,1992Q3
676,1992,4,159.6,11331,1992Q4
680,1993,1,177.2,11331,1993Q1
683,1993,2,196.1,11331,1993Q2
686,1993,3,187.0,11331,1993Q3
689,1993,4,186.5,11331,1993Q4
693,1994,1,201.0,11331,1994Q1
696,1994,2,192.0,11331,1994Q2
699,1994,3,187.9,11331,1994Q3
702,1994,4,189.6,11331,1994Q4
706,1995,1,198.0,11331,1995Q1
709,1995,2,199.9,11331,1995Q2
712,1995,3,191.6,11331,1995Q3
715,1995,4,189.3,11331,1995Q4
719,1996,1,187.7,11331,1996Q1
722,1996,2,182.0,11331,1996Q2
725,1996,3,184.6,11331,1996Q3
728,1996,4,187.4,11331,1996Q4
732,1997,1,191.8,11331,1997Q1
735,1997,2,191.2,11331,1997Q2
738,1997,3,191.9,11331,1997Q3
741,1997,4,191.0,11331,1997Q4
745,1998,1,194.1,11331,1998Q1
748,1998,2,188.9,11331,1998Q2
751,1998,3,184.3,11331,1998Q3
754,1998,4,180.8,11331,1998Q4
758,1999,1,182.2,11331,1999Q1
761,1999,2,181.7,11331,1999Q2
764,1999,3,182.7,11331,1999Q3
767,1999,4,184.6,11331,1999Q4
771,2000,1,186.0,11331,2000Q1
774,2000,2,179.7,11331,2000Q2
777,2000,3,170.0,11331,2000Q3
780,2000,4,169.2,11331,2000Q4
784,2001,1,168.0,11331,2001Q1
787,2001,2,169.5,11331,2001Q2
790,2001,3,167.6,11331,2001Q3
793,2001,4,165.5,11331,2001Q4
797,2002,1,165.6,11331,2002Q1
800,2002,2,165.0,11331,2002Q2
803,2002,3,165.1,11331,2002Q3
806,2002,4,165.0,11331,2002Q4
810,2003,1,166.4,11331,2003Q1
813,2003,2,169.2,11331,2003Q2
816,2003,3,170.4,11331,2003Q3
819,2003,4,173.2,11331,2003Q4
823,2004,1,174.1,11331,2004Q1
826,2004,2,174.5,11331,2004Q2
829,2004,3,175.4,11331,2004Q3
832,2004,4,176.9,11331,2004Q4
836,2005,1,180.9,11331,2005Q1
839,2005,2,178.8,11331,2005Q2
842,2005,3,177.7,11331,2005Q3
845,2005,4,178.1,11331,2005Q4
849,2006,1,177.4,11331,2006Q1
852,2006,2,177.3,11331,2006Q2
855,2006,3,176.3,11331,2006Q3
858,2006,4,173.8,11331,2006Q4
862,2007,1,178.6,11331,2007Q1
865,2007,2,176.8,11331,2007Q2
868,2007,3,173.6,11331,2007Q3
871,2007,4,171.0,11331,2007Q4
875,2008,1,172.8,11331,2008Q1
878,2008,2,173.2,11331,2008Q2
881,2008,3,171.4,11331,2008Q3
884,2008,4,168.5,11331,2008Q4
888,2009,1,159.2,11331,2009Q1
891,2009,2,156.4,11331,2009Q2
894,2009,3,160.1,11331,2009Q3
897,2009,4,165.7,11331,2009Q4
901,2010,1,178.9,11331,2010Q1
904,2010,2,179.4,11331,2010Q2
907,2010,3,177.1,11331,2010Q3
910,2010,4,173.8,11331,2010Q4
914,2011,1,186.1,11331,2011Q1
917,2011,2,181.8,11331,2011Q2
920,2011,3,186.2,11331,2011Q3
923,2011,4,188.4,11331,2011Q4
927,2012,1,189.9,11331,2012Q1
930,2012,2,190.1,11331,2012Q2
933,2012,3,191.2,11331,2012Q3
936,2012,4,196.4,11331,2012Q4
940,2013,1,198.6,11331,2013Q1
943,2013,2,198.4,11331,2013Q2
946,2013,3,199.7,11331,2013Q3
949,2013,4,201.8,11331,2013Q4
953,2014,1,202.6,11331,2014Q1
956,2014,2,201.8,11331,2014Q2
959,2014,3,203.3,11331,2014Q3
962,2014,4,201.6,11331,2014Q4
966,2015,1,203.8,11331,2015Q1
969,2015,2,201.3,11331,2015Q2
972,2015,3,196.9,11331,2015Q3
975,2015,4,196.9,11331,2015Q4
979,2016,1,197.6,11331,2016Q1
982,2016,2,196.3,11331,2016Q2
985,2016,3,197.9,11331,2016Q3
988,2016,4,201.0,11331,2016Q4
992,2017,1,199.5,11331,2017Q1
995,2017,2,197.0,11331,2017Q2
998,2017,3,196.5,11331,2017Q3
1001,2017,4,203.8,11331,2017Q4
1005,2018,1,205.1,11331,2018Q1
1008,2018,2,205.5,11331,2018Q2
1011,2018,3,207.2,11331,2018Q3
1014,2018,4,202.0,11331,2018Q4
1018,2019,1,197.0,11331,2019Q1
1021,2019,2,197.2,11331,2019Q2
1024,2019,3,194.5,11331,2019Q3
1027,2019,4,191.5,11331,2019Q4
1031,2020,1,194.8,11331,2020Q1
1034,2020,2,190.3,11331,2020Q2
1037,2020,3,194.0,11331,2020Q3
1040,2020,4,201.2,11331,2020Q4
1044,2021,1,211.9,11331,2021Q1
1047,2021,2,214.5,11331,2021Q2
1050,2021,3,215.876,11331,2021Q3
1053,2021,4,215.013,11331,2021Q4
1057,2022,1,218.098,11331,2022Q1
1060,2022,2,221.763,11331,2022Q2
1063,2022,3,221.294,11331,2022Q3
1066,2022,4,219.913,11331,2022Q4
1068,1981,4,100.0,113310,1981Q4
1071,1982,1,101.4,113310,1982Q1
1074,1982,2,101.0,113310,1982Q2
1077,1982,3,96.1,113310,1982Q3
