gvkey,first_quarter,last_quarter,first_markup,last_markup,first_PPI,last_PPI,first_COGS,last_COGS,first_quarter_index,last_quarter_index,periods,cagr_markup,cagr_PPI,cagr_COGS,ind2d_definition,dot_size,sale_CPI,conm,naics,markup_closest_2018
1045,2018Q1,2024Q4,1.0523965,1.0761831,124.4078062038265,121.87670329948917,2971964.1633199584,3134387.9529984407,1,28,27,0.0828145319510254,-0.07610074779252907,0.1972715694334326,Transportation and Warehousing,15.245696268490903,4179475.292413587,AMERICAN AIRLINES GROUP INC,481111,1.0523965
1050,2018Q4,2024Q4,1.2202526,1.368162,43.319671482600924,45.11509551152856,25129.761207728705,31617.04123410782,4,28,24,0.4778478468891567,0.16935183816539912,0.9614399448961031,Manufacturing,10.522177951653791,37129.903628566455,CECO ENVIRONMENTAL CORP,333413,1.2202526
1078,2018Q1,2024Q4,2.2307076,2.0758419,28.20874463888164,24.31043972062719,1099417.7867554633,1442179.7163174506,1,28,27,-0.26613426364632264,-0.5493232539045434,1.0101602620367078,Manufacturing,14.903922048080018,2969553.159401635,ABBOTT LABORATORIES,334510,2.2307076
1104,2018Q1,2024Q4,1.3926649,1.4879918,46.572559022280046,43.06448137303367,7556.086280025486,8423.01403201886,1,28,27,0.24551689932175158,-0.2896277162919292,0.4030856095788238,Manufacturing,9.452639586397638,12741.7538743527,ACME UNITED CORP,332215,1.3926649
1117,2018Q4,2024Q4,1.3228869,1.5268726,34.41836912316238,31.13314668339861,2636.7635655847957,3203.15371842162,4,28,24,0.5993103767023111,-0.4171165863767645,0.8140606777055304,Manufacturing,8.34843579986776,4223.569066194041,BK TECHNOLOGIES CORP,334220,1.3228869
1161,2018Q1,2024Q4,1.3521035,1.9749914,13.622172942195096,9.369256315676058,404244.9903055542,1057788.5943897276,1,28,27,1.4132357284758923,-1.3766039943727493,3.6268695989710054,Manufacturing,13.402749764315411,661820.5755797691,ADVANCED MICRO DEVICES,334413,1.3521035
1166,2018Q4,2024Q4,1.6001647,2.0405769,33.666702799360685,33.10548731794501,57579.95347585967,89254.79459000393,4,28,24,1.018173470960937,-0.07001819572782786,1.8431156076116784,Manufacturing,11.6223481853566,111563.38518506798,ASM INTERNATIONAL NV,333242,1.6001647
1209,2018Q1,2024Q4,0.74055588,0.92601705,70.72278160415262,84.04254287561318,540024.6943057994,546196.6510755345,1,28,27,0.8311817881438532,0.6411405752993593,0.042098521892475205,Manufacturing,13.699768803479323,890705.2142259357,AIR PRODUCTS & CHEMICALS INC,325120,0.74055588
1210,2018Q2,2024Q4,0.95445251,0.98772562,91.95650381627468,109.84681078957041,12805.172391261836,16579.20421847866,2,28,26,0.13188326843311948,0.6860777475065083,0.9984126324971143,Transportation and Warehousing,9.70087981053449,16331.969918035626,AIR T INC,492110,0.95445251
1230,2018Q1,2024Q4,0.93966138,0.97897702,124.4078062038265,121.87670329948917,586275.7861389697,891419.8070755852,1,28,27,0.15192489282196409,-0.07610074779252907,1.5640503081151058,Transportation and Warehousing,13.509202579371845,736159.8630614068,ALASKA AIR GROUP INC,481111,0.93966138
1234,2018Q1,2024Q2,1.7813709,1.4523375,47.014576407306,40.84264193659883,7340.301429335544,9235.949895083635,1,26,25,-0.8135085987147961,-0.5613425867860733,0.9231290264807068,Manufacturing,9.669830230830232,15832.66089764328,ATRION CORP,339112,1.7813709
1254,2018Q1,2024Q4,0.92062324,1.1297256,59.591980181226326,71.9667008911029,167042.38814117183,194603.94721831387,1,28,27,0.7609516509308634,0.7012716223758764,0.567228057986835,Transportation and Warehousing,12.233191096994856,205497.9006384298,MATSON INC,483113,0.92062324
1257,2022Q2,2024Q2,1.4134167,1.2902772,51.821665938970554,51.914603468020914,9974.634592594133,10762.389486875734,18,26,8,-1.1329443670763162,0.02240006390581417,0.9546816824829829,Real Estate and Rental and Leasing,9.756442986289509,17265.110090026406,ALEXANDER'S INC,531120,1.4134167
1262,2018Q1,2024Q4,0.72943509,1.1721053,59.591980181226326,71.9667008911029,24936.20985924599,43951.464679114215,1,28,27,1.7721356411343647,0.7012716223758764,2.121316293163189,Transportation and Warehousing,10.098484032393738,24306.134168590812,ALGOMA CENTRAL CORP,483113,0.72943509
1263,2021Q4,2024Q4,1.3525139,0.78945148,143.95539374273895,75.17175596709383,209671.3381884411,203983.9778935493,16,28,12,-4.387360219696001,-5.2704306877311975,-0.2289025964450353,Manufacturing,12.738406248796142,340580.3144288958,ALGOMA STEEL GROUP INC,331110,1.3525139
1327,2018Q1,2024Q4,1.9305288,1.8394599,13.622172942195096,9.369256315676058,180825.29387425384,152013.53766589344,1,28,27,-0.1788101627012595,-1.3766039943727493,-0.6407596476072142,Manufacturing,12.954392365882999,422689.170280728,SKYWORKS SOLUTIONS INC,334413,1.9305288
1380,2018Q1,2024Q4,1.7489688,2.1656389,62.686101876407996,59.934593299615926,267621.43493389565,392313.4451331584,1,28,27,0.7945811533612623,-0.16610598904277518,1.4267027360391982,"Mining, Quarrying, and Oil and Gas Extraction",13.200931544342444,540868.5456772125,HESS CORP,2111,1.7489688
