List of skipped industry-year windows (too few observations)
----------------------------------------------------------

Industry 22  |  before 1972  |  N = 0
Industry 24  |  before 1972  |  N = 0
Industry 25  |  before 1972  |  N = 0
Industry 22  |  year 1970  |  N = 0
Industry 24  |  year 1970  |  N = 0
Industry 25  |  year 1970  |  N = 0
Industry 22  |  year 1971  |  N = 0
Industry 24  |  year 1971  |  N = 0
Industry 25  |  year 1971  |  N = 0
Industry 22  |  year 1972  |  N = 0
Industry 24  |  year 1972  |  N = 0
Industry 25  |  year 1972  |  N = 0
Industry 22  |  year 1973  |  N = 0
Industry 24  |  year 1973  |  N = 0
Industry 25  |  year 1973  |  N = 0
Industry 22  |  year 1974  |  N = 0
Industry 24  |  year 1974  |  N = 0
Industry 25  |  year 1974  |  N = 0
Industry 22  |  year 1975  |  N = 0
Industry 24  |  year 1975  |  N = 0
Industry 25  |  year 1975  |  N = 0
Industry 22  |  year 1976  |  N = 0
Industry 24  |  year 1976  |  N = 0
Industry 25  |  year 1976  |  N = 0
Industry 22  |  year 1977  |  N = 0
Industry 24  |  year 1977  |  N = 0
Industry 25  |  year 1977  |  N = 0
Industry 22  |  year 1978  |  N = 0
Industry 24  |  year 1978  |  N = 0
Industry 25  |  year 1978  |  N = 0
Industry 22  |  year 1979  |  N = 0
Industry 24  |  year 1979  |  N = 0
Industry 25  |  year 1979  |  N = 0
Industry 22  |  year 1980  |  N = 0
Industry 24  |  year 1980  |  N = 0
Industry 25  |  year 1980  |  N = 0
Industry 22  |  year 1981  |  N = 0
Industry 24  |  year 1981  |  N = 0
Industry 25  |  year 1981  |  N = 0
Industry 22  |  year 1982  |  N = 0
Industry 24  |  year 1982  |  N = 0
Industry 25  |  year 1982  |  N = 0
Industry 22  |  year 1983  |  N = 0
Industry 24  |  year 1983  |  N = 0
Industry 25  |  year 1983  |  N = 0
Industry 22  |  year 1984  |  N = 0
Industry 24  |  year 1984  |  N = 0
Industry 25  |  year 1984  |  N = 0
Industry 22  |  year 1985  |  N = 0
Industry 24  |  year 1985  |  N = 0
Industry 25  |  year 1985  |  N = 0
Industry 22  |  year 1986  |  N = 0
Industry 24  |  year 1986  |  N = 0
Industry 25  |  year 1986  |  N = 0
Industry 22  |  year 1987  |  N = 0
Industry 24  |  year 1987  |  N = 0
Industry 25  |  year 1987  |  N = 0
Industry 22  |  year 1988  |  N = 0
Industry 24  |  year 1988  |  N = 0
Industry 25  |  year 1988  |  N = 0
Industry 22  |  year 1989  |  N = 0
Industry 24  |  year 1989  |  N = 0
Industry 25  |  year 1989  |  N = 0
Industry 22  |  year 1990  |  N = 0
Industry 24  |  year 1990  |  N = 0
Industry 25  |  year 1990  |  N = 0
Industry 22  |  year 1991  |  N = 0
Industry 24  |  year 1991  |  N = 0
Industry 25  |  year 1991  |  N = 0
Industry 22  |  year 1992  |  N = 0
Industry 24  |  year 1992  |  N = 0
Industry 25  |  year 1992  |  N = 0
Industry 22  |  year 1993  |  N = 0
Industry 24  |  year 1993  |  N = 0
Industry 25  |  year 1993  |  N = 0
Industry 22  |  year 1994  |  N = 0
Industry 24  |  year 1994  |  N = 0
Industry 25  |  year 1994  |  N = 0
Industry 22  |  year 1995  |  N = 0
Industry 24  |  year 1995  |  N = 0
Industry 25  |  year 1995  |  N = 0
Industry 22  |  year 1996  |  N = 0
Industry 24  |  year 1996  |  N = 0
Industry 25  |  year 1996  |  N = 0
Industry 22  |  year 1997  |  N = 0
Industry 24  |  year 1997  |  N = 0
Industry 25  |  year 1997  |  N = 0
Industry 22  |  year 1998  |  N = 0
Industry 24  |  year 1998  |  N = 0
Industry 25  |  year 1998  |  N = 0
Industry 22  |  year 1999  |  N = 0
Industry 24  |  year 1999  |  N = 0
Industry 25  |  year 1999  |  N = 0
Industry 22  |  year 2000  |  N = 0
Industry 24  |  year 2000  |  N = 0
Industry 25  |  year 2000  |  N = 0
Industry 22  |  year 2001  |  N = 0
Industry 24  |  year 2001  |  N = 0
Industry 25  |  year 2001  |  N = 0
Industry 22  |  year 2002  |  N = 0
Industry 24  |  year 2002  |  N = 0
Industry 25  |  year 2002  |  N = 0
Industry 22  |  year 2003  |  N = 0
Industry 24  |  year 2003  |  N = 0
Industry 25  |  year 2003  |  N = 0
Industry 22  |  year 2004  |  N = 0
Industry 24  |  year 2004  |  N = 0
Industry 25  |  year 2004  |  N = 0
Industry 22  |  year 2005  |  N = 0
Industry 24  |  year 2005  |  N = 0
Industry 25  |  year 2005  |  N = 0
Industry 22  |  year 2006  |  N = 0
Industry 24  |  year 2006  |  N = 0
Industry 25  |  year 2006  |  N = 0
Industry 22  |  year 2007  |  N = 0
Industry 24  |  year 2007  |  N = 0
Industry 25  |  year 2007  |  N = 0
Industry 22  |  year 2008  |  N = 0
Industry 24  |  year 2008  |  N = 0
Industry 25  |  year 2008  |  N = 0
Industry 22  |  year 2009  |  N = 0
Industry 24  |  year 2009  |  N = 0
Industry 25  |  year 2009  |  N = 0
Industry 22  |  year 2010  |  N = 0
Industry 24  |  year 2010  |  N = 0
Industry 25  |  year 2010  |  N = 0
