Company Name,NAICS,2-Digit Industry,Markup Growth,PPI Growth
ASHFORD INC,523940.0,Finance and Insurance,126.90869803870744,2.361831381199675
XP INC,523150.0,Finance and Insurance,-4.430342829547418,97.80811715144252
FUTU HOLDINGS LIMITED,523150.0,Finance and Insurance,49.43591199393387,97.80811715144252
NEWS CORP,513110.0,Information,0.6167494138137997,-20.08920430628669
GANNETT CO INC,513110.0,Information,-0.3566285545640091,-22.72094989108071
GL BRANDS INC,511120.0,Information,440.9028880828152,0.1406049189439207
COOTEK (CAYMAN) INC,513210.0,Information,316.6494797230559,-4.896720806586119
SENETEK PLC  -OLD,325414.0,Manufacturing,-22.825789810335262,-20.813762296397385
LOGICMARK INC,334510.0,Manufacturing,125.07448427277312,-2.2958228732223085
CHEVRON PHILLIPS CHEM CO LLC,324110.0,Manufacturing,-0.2515595377947099,26.66444849656495
VYNE THERAPEUTICS INC,325412.0,Manufacturing,203.74803192160377,4.666320436839166
THC BIOMED INTL LTD,325412.0,Manufacturing,362.3136783852683,-1.8896729987998515
TATNEFT PJSC,324110.0,Manufacturing,-5.1513052142663,20.402272654475496
RETURN ASSURED INC,334111.0,Manufacturing,7.163249233644975,22.130292791519945
KULR TECHNOLOGY GROUP,33441.0,Manufacturing,132.8310464563562,-2.805254201213103
IMAC HOLDINGS INC,325414.0,Manufacturing,262.108118655284,-1.4926830094694865
SHOCKWAVE MEDICAL INC,334510.0,Manufacturing,152.5354733696982,-1.9667575359254896
PERCLOSE INC,339112.0,Manufacturing,143.7244195141615,-5.266692512003868
ABRAXIS BIOSCIENCE INC,325414.0,Manufacturing,4.67264697023051,-20.813762296397385
VOLTAIRE LTD,334111.0,Manufacturing,12.32786843719378,-24.598394081677867
ACADIA PHARMACEUTICALS INC,325414.0,Manufacturing,141.83798154489233,-1.4926830094694865
ICOP DIGITAL INC,334310.0,Manufacturing,3.758295225377739,-23.30346995701741
10X GENOMICS INC,325413.0,Manufacturing,-51.39026418820172,-53.24976638564692
ADAPTIVE BIOTECH CORP,325413.0,Manufacturing,2.387496129825828,-53.24976638564692
PERSONALIS INC,325413.0,Manufacturing,73.38903516793425,-53.24976638564692
GUARDANT HEALTH INC,325413.0,Manufacturing,27.521630224082585,-32.23108179358377
EXAGEN INC,325413.0,Manufacturing,4.865234774264504,-53.24976638564692
SHINECO INC,325413.0,Manufacturing,-4.056968586431764,-20.24375475170609
MISSION NEWENERGY LTD,324199.0,Manufacturing,-45.836810157898334,23.68103588149637
LGBTQ LOYALTY HOLDINGS INC,339920.0,Manufacturing,125.0978606512906,-1.7704725470925051
TELLURIAN INC,211120.0,"Mining, Quarrying, and Oil and Gas Extraction",128.00764559291534,-17.740324807519848
POWDER RIVER PETROLEUM INTL,211111.0,"Mining, Quarrying, and Oil and Gas Extraction",107.66818388200257,16.164854009261155
UNIVERSAL COPPER LTD,212230.0,"Mining, Quarrying, and Oil and Gas Extraction",0.6179269413955524,20.789522645908765
TODCO,213111.0,"Mining, Quarrying, and Oil and Gas Extraction",20.825321632476147,22.69670393399579
RUSORO MINING LTD,212220.0,"Mining, Quarrying, and Oil and Gas Extraction",-30.65060605054082,20.604137581671456
STRATA PWR CORP,2111.0,"Mining, Quarrying, and Oil and Gas Extraction",-49.66523905147275,68.98800324369539
LARGO INC,212290.0,"Mining, Quarrying, and Oil and Gas Extraction",161.88656028014736,26.794067875128192
ALTIMA ENERGY INC,2111.0,"Mining, Quarrying, and Oil and Gas Extraction",201.97074098464967,17.9552050204431
CAPITOL ENERGY RESOURCES LTD,2111.0,"Mining, Quarrying, and Oil and Gas Extraction",166.53063954164296,23.585329623279794
SHININGBANK ENERGY INCOME FD,2111.0,"Mining, Quarrying, and Oil and Gas Extraction",0.2992675588751714,23.585329623279794
POINT NORTH ENERGY LTD,2111.0,"Mining, Quarrying, and Oil and Gas Extraction",0.8725750871225957,22.73995590658742
PEREGRINE ENERGY LTD,2111.0,"Mining, Quarrying, and Oil and Gas Extraction",0.3543079605683896,38.261108887835405
HESS MIDSTREAM LP,211130.0,"Mining, Quarrying, and Oil and Gas Extraction",28.18413456987856,25.735658612757128
VIRGINIA HILLS OIL CORP,2111.0,"Mining, Quarrying, and Oil and Gas Extraction",-33.34543538429847,-22.84125373626884
BLACK STONE MINERALS LP,2111.0,"Mining, Quarrying, and Oil and Gas Extraction",-25.538553911529995,-38.066683167284
GLEN ROSE PETROLEUM CORP,211111.0,"Mining, Quarrying, and Oil and Gas Extraction",119.1074118607692,-5.715110506054821
SUNSHINE OILSANDS LTD,2111.0,"Mining, Quarrying, and Oil and Gas Extraction",354.1638426307778,4.963454496930519
PDD HOLDINGS INC,455.0,Retail Trade,127.28522791298494,-2.6631281845349686
TRANSALTA RENEWABLES INC,22111.0,Utilities,4.3696977363152145,23.303417220601652
