,Industry,Definition,Number of firms,Share of firms matched,share_revenue_matched,Number of 6-digit industries,Number of periods (quarters)
0,Total,Total,5011.0,0.7208,0.7355,392,21.0496
1,11,"Agriculture, Forestry, Fishing and Hunting",25.0,0.0,0.0,0,0.0
2,21,"Mining, Quarrying, and Oil and Gas Extraction",539.0,0.8033,0.9119,20,18.7598
3,22,Utilities,34.0,0.6471,0.9821,1,19.4545
4,23,Construction,77.0,0.0,0.0,0,0.0
5,31-33,Manufacturing,1993.0,0.9854,0.9804,261,22.1232
6,42,Wholesale Trade,171.0,0.1345,0.1266,0,22.4783
7,44-45,Retail Trade,258.0,0.6318,0.3289,30,21.5337
8,48-49,Transportation and Warehousing,175.0,0.8457,0.8123,18,21.9054
9,51,Information,756.0,0.7249,0.6536,19,18.8978
10,52,Finance and Insurance,163.0,0.454,0.7925,11,20.5405
11,53,Real Estate and Rental and Leasing,164.0,0.5366,0.6749,8,20.1023
12,54,"Professional, Scientific, and Technical Services",205.0,0.1463,0.1919,4,21.5
13,56,Administrative and Support and Waste Management and Remediation Services,117.0,0.1368,0.3121,5,23.25
14,61,Educational Services,51.0,0.0,0.0,0,0.0
15,62,Health Care and Social Assistance,102.0,0.5392,0.4552,10,19.8182
16,71,"Arts, Entertainment, and Recreation",52.0,0.2308,0.1291,2,21.5833
17,72,Accommodation and Food Services,111.0,0.3153,0.2179,2,20.6286
18,81,Other Services (except Public Administration),18.0,0.0556,0.0362,1,28.0
