,Industry,Estimate,St.Err,R2,N_obs,Share matched (revenue)
0,Accommodation and Food Services,0.0117,0.1135,0.0002,60.0,0.2189
1,Administrative and Support and Waste Management and Remediation Services,-0.0025,0.0306,0.0001,46.0,0.2163
3,All sectors,-0.1213,0.0125,0.0115,8067.0,0.5948
4,All sectors with FE,-0.1555,0.012,0.0204,8067.0,0.5948
8,Finance and Insurance,-0.4048,0.0699,0.2386,109.0,0.6001
9,Health Care and Social Assistance,0.029,0.1281,0.0005,116.0,0.2681
10,Information,0.0949,0.0195,0.0214,1080.0,0.3944
11,Manufacturing,-0.5761,0.0229,0.1132,4945.0,0.8584
12,"Mining, Quarrying, and Oil and Gas Extraction",0.1341,0.0174,0.0575,972.0,0.7723
14,"Professional, Scientific, and Technical Services",-0.0553,0.0427,0.0297,57.0,0.11
15,Real Estate and Rental and Leasing,0.0165,0.0504,0.0009,127.0,0.4641
16,Retail Trade,0.1565,0.0349,0.0829,225.0,0.2352
18,Transportation and Warehousing,-0.1604,0.0445,0.0492,253.0,0.7084
19,Utilities,-0.011,0.1492,0.0002,35.0,0.4142
