,Industry,Estimate,St.Err,R2,N_obs,Share matched (revenue)
0,Accommodation and Food Services,-0.0402,0.0852,0.0038,60.0,0.2189
1,Administrative and Support and Waste Management and Remediation Services,-0.0097,0.0174,0.007,46.0,0.2163
3,All sectors,-0.1016,0.011,0.0105,8067.0,0.5948
4,All sectors with FE,-0.1287,0.0106,0.0179,8067.0,0.5948
8,Finance and Insurance,-0.3745,0.0721,0.2014,109.0,0.6001
9,Health Care and Social Assistance,-0.0111,0.1101,0.0001,116.0,0.2681
10,Information,0.0698,0.0179,0.0139,1080.0,0.3944
11,Manufacturing,-0.4676,0.0206,0.0943,4945.0,0.8584
12,"Mining, Quarrying, and Oil and Gas Extraction",0.0536,0.0197,0.0076,972.0,0.7723
14,"Professional, Scientific, and Technical Services",-0.053,0.0446,0.025,57.0,0.11
15,Real Estate and Rental and Leasing,0.0311,0.0347,0.0064,127.0,0.4641
16,Retail Trade,0.165,0.0298,0.1208,225.0,0.2352
18,Transportation and Warehousing,-0.1339,0.0389,0.0451,253.0,0.7084
19,Utilities,0.03,0.1218,0.0018,35.0,0.4142
